"pmid","priority","doi","title","year","journal","knowhere_job_id","knowhere_page_count","knowhere_credits_spent","upload_markdown_path","file_size"
"10562535","high","10.1093/emboj/18.22.6228","[Schwarzenbacher R.] (1999) The EMBO journal — Crystal structure of human beta2-glycoprotein I: implications for phospholipid binding and the antiphospholipid syndrome.","1999","The EMBO journal","job_972f26e82d9f","12","0.018","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_10562535.md","48525"
"15731290","high","10.1136/ard.2004.031856","[Erkan D.] (2005) Annals of the rheumatic… — Real world experience with antiphospholipid antibody tests: how stable are results over time?","2005","Annals of the rheumatic diseases","job_2376bd745e0e","5","0.0075","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_15731290.md","30275"
"15817655","high","10.1136/ard.2005.035824","[Bertolaccini L.] (2005) Annals of the rheumatic… — Antiphospholipid antibody tests: spreading the net.","2005","Annals of the rheumatic diseases","job_0e452d2ef191","5","0.0075","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_15817655.md","20858"
"16953276","high","10.1160/th06-05-0287","[Ruffatti A.] (2006) Thrombosis and haemostasis — Antibody profile and clinical course in primary antiphospholipid syndrome with pregnancy morbidity.","2006","Thrombosis and haemostasis","job_0d6e64680e16","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_16953276.md","3766"
"17223652","high","10.1136/ard.2006.063909","[Hamid C.] (2007) Annals of the rheumatic… — Anti-beta2GPI-antibody-induced endothelial cell gene expression profiling reveals induction of novel pro-inflammatory genes potentially involved in primary antiphospholipid syndrome.","2007","Annals of the rheumatic diseases","job_4af596f8e2a9","8","0.012","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_17223652.md","44421"
"17261530","high","10.1136/ard.2006.065037","[Pierangeli S.] (2007) Annals of the rheumatic… — Toll-like receptor and antiphospholipid mediated thrombosis: in vivo studies.","2007","Annals of the rheumatic diseases","job_0e844c20e75f","7","0.0105","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_17261530.md","38389"
"18802482","high","10.1172/jci36089","[Redecha P.] (2008) The Journal of clinical… — Neutrophil activation by the tissue factor/Factor VIIa/PAR2 axis mediates fetal death in a mouse model of antiphospholipid syndrome.","2008","The Journal of clinical investigation","job_7f3d1eb3379b","9","0.0135","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_18802482.md","59303"
"19628708","high","10.1182/blood-2008-11-188698","[Romay-Penabad Z.] (2009) Blood — Annexin A2 is involved in antiphospholipid antibody-mediated pathogenic effects in vitro and in vivo.","2009","Blood","job_d52809c5a332","10","0.015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_19628708.md","51118"
"19965621","high","10.1182/blood-2009-04-213520","[Rand H.] (2009) Blood — Hydroxychloroquine protects the annexin A5 anticoagulant shield from disruption by antiphospholipid antibodies: evidence for a novel effect for an old antimalarial drug.","2009","Blood","job_31b18075e8dc","8","0.012","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_19965621.md","47286"
"20655705","high","10.1016/j.jaut.2010.06.013","[Passam H.] (2010) Journal of autoimmunity — In vivo modulation of angiogenesis by beta 2 glycoprotein I.","2010","Journal of autoimmunity","job_f1df55e861cf","9","0.0135","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_20655705.md","38752"
"21123944","high","10.1172/jci39828","[Ramesh S.] (2010) The Journal of clinical… — Antiphospholipid antibodies promote leukocyte-endothelial cell adhesion and thrombosis in mice by antagonizing eNOS via β2GPI and apoER2.","2010","The Journal of clinical investigation","job_8d0670919c27","12","0.018","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_21123944.md","70864"
"22234447","high","10.1160/th11-08-0554","[Breen A.] (2012) Thrombosis and haemostasis — Complement activation in patients with isolated antiphospholipid antibodies or primary antiphospholipid syndrome.","2012","Thrombosis and haemostasis","job_982e13409a82","1","0.0015","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\knowhere_markdown_only\pmid_22234447.md","3747"
