"pmid","priority","doi","title","year","journal","primary_text_source","source_markdown_path","upload_markdown_path","file_size"
"10562535","high","10.1093/emboj/18.22.6228","[Schwarzenbacher R.] (1999) The EMBO journal — Crystal structure of human beta2-glycoprotein I: implications for phospholipid binding and the antiphospholipid syndrome.","1999","The EMBO journal","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_results\10562535__Schwarzenbacher_R._1999_The_EMBO_journal_Crystal_structure_of_human_beta\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_10562535.md","48525"
"15731290","high","10.1136/ard.2004.031856","[Erkan D.] (2005) Annals of the rheumatic… — Real world experience with antiphospholipid antibody tests: how stable are results over time?","2005","Annals of the rheumatic diseases","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\15731290__Erkan_D._2005_Annals_of_the_rheumatic_Real_world_experience_with_antipho\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_15731290.md","30275"
"15817655","high","10.1136/ard.2005.035824","[Bertolaccini L.] (2005) Annals of the rheumatic… — Antiphospholipid antibody tests: spreading the net.","2005","Annals of the rheumatic diseases","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\15817655__Bertolaccini_L._2005_Annals_of_the_rheumatic_Antiphospholipid_antibody_t\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_15817655.md","20858"
"16953276","high","10.1160/th06-05-0287","[Ruffatti A.] (2006) Thrombosis and haemostasis — Antibody profile and clinical course in primary antiphospholipid syndrome with pregnancy morbidity.","2006","Thrombosis and haemostasis","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_retry_five\16953276__Ruffatti_A._2006_Thrombosis_and_haemostasis_Antibody_profile_and_clinica\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_16953276.md","3766"
"17223652","high","10.1136/ard.2006.063909","[Hamid C.] (2007) Annals of the rheumatic… — Anti-beta2GPI-antibody-induced endothelial cell gene expression profiling reveals induction of novel pro-inflammatory genes potentially involved in primary antiphospholipid syndrome.","2007","Annals of the rheumatic diseases","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\17223652__Hamid_C._2007_Annals_of_the_rheumatic_Anti-beta2GPI-antibody-induced_end\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_17223652.md","44421"
"17261530","high","10.1136/ard.2006.065037","[Pierangeli S.] (2007) Annals of the rheumatic… — Toll-like receptor and antiphospholipid mediated thrombosis: in vivo studies.","2007","Annals of the rheumatic diseases","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\17261530__Pierangeli_S._2007_Annals_of_the_rheumatic_Toll-like_receptor_and_antiph\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_17261530.md","38389"
"18802482","high","10.1172/jci36089","[Redecha P.] (2008) The Journal of clinical… — Neutrophil activation by the tissue factor/Factor VIIa/PAR2 axis mediates fetal death in a mouse model of antiphospholipid syndrome.","2008","The Journal of clinical investigation","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\18802482__Redecha_P._2008_The_Journal_of_clinical_Neutrophil_activation_by_the_tis\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_18802482.md","59303"
"19628708","high","10.1182/blood-2008-11-188698","[Romay-Penabad Z.] (2009) Blood — Annexin A2 is involved in antiphospholipid antibody-mediated pathogenic effects in vitro and in vivo.","2009","Blood","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\19628708__Romay-Penabad_Z._2009_Blood_Annexin_A2_is_involved_in_antiphospholipid_a\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_19628708.md","51118"
"19965621","high","10.1182/blood-2009-04-213520","[Rand H.] (2009) Blood — Hydroxychloroquine protects the annexin A5 anticoagulant shield from disruption by antiphospholipid antibodies: evidence for a novel effect for an old antimalarial drug.","2009","Blood","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\19965621__Rand_H._2009_Blood_Hydroxychloroquine_protects_the_annexin_A5_anticoagul\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_19965621.md","47286"
"20655705","high","10.1016/j.jaut.2010.06.013","[Passam H.] (2010) Journal of autoimmunity — In vivo modulation of angiogenesis by beta 2 glycoprotein I.","2010","Journal of autoimmunity","knowhere_pdf_markdown","D:\科研\SH Science Group\综述文献打分\library\knowhere_batch\20655705__Passam_H._2010_Journal_of_autoimmunity_In_vivo_modulation_of_angiogenesi\result\full.md","D:\科研\SH Science Group\综述文献打分\server_markdown_upload_ready\markdown_docs\pmid_20655705.md","38752"
